year,co2,temp_anomaly,conflict_deaths,ai_publications,ai_capability,conflict_index,climate_pressure,co2_pressure,ai_safety,risk_score
2016,35392830000.0,1.0083333333333333,90624,574316,0.0,1.694912231421909,3.690248565965581,0.6819073640763295,1.5067435828766826,0.7779454325932216
2017,35974610000.0,0.9141666666666667,72023,640509,0.5807452925704119,0.8655582456093418,1.5296367112810703,2.37295623991745,2.1206375467446925,0.32668211602653097
2018,36734005000.0,0.8475,55031,787932,1.8741632259864502,0.10794398148767405,0.0,4.580275262691296,4.3217204830101785,-0.155545494166748
2019,37086570000.0,0.9783333333333332,52610,967369,3.448456475468374,0.0,3.0019120458890964,5.6050692516749745,4.304960268408743,1.076361020236625
2020,35158230000.0,1.0058333333333334,73228,1139600,4.959527774317113,0.9192850104555406,3.6328871892925423,0.0,5.026169901830993,1.1843824409340853
2021,36866863000.0,0.8475000000000001,199789,1352874,6.830690458100324,6.562200434272771,2.547356844264221e-15,4.966451087825367,6.5802195003049135,2.5538710275943695
2022,37527773000.0,0.89,276893,1366384,6.949220648643527,10.0,0.975143403441682,6.88750563169445,6.363524209723871,3.9069492079658548
2023,38094040000.0,1.1691666666666667,131061,1654186,9.474255874307111,3.4978576173851788,7.380497131931166,8.533463165084948,7.471743581090684,4.278376628921308
2024,38598580000.0,1.2833333333333334,128439,1714110,10.0,3.3809517440019974,10.0,10.0,7.2205044646305865,5.179086596611324
